Timestamp,Model,Input Tokens,Output Tokens,Input Cost ($),Output Cost ($),Total Cost ($),Prompt
2025-07-02T14:44:52.955070,anthropic/claude-3.5-haiku-20241022:beta,12,129,0.000010,0.000516,0.000526,Quick pizza delivery options nearby
2025-07-02T14:44:53.109239,anthropic/claude-3.5-haiku-20241022:beta,15,153,0.000012,0.000612,0.000624,Affordable fast pizza delivery in my city
2025-07-02T14:44:53.173642,perplexity/sonar-pro,8,287,0.000024,0.004305,0.004329,Affordable fast pizza delivery in my city
2025-07-02T14:44:53.432335,perplexity/sonar-pro,6,229,0.000018,0.003435,0.003453,Pizza delivery companies offering garlic bread
2025-07-02T14:44:53.876070,perplexity/sonar-pro,7,280,0.000021,0.004200,0.004221,Pizza delivery app with multiple crust options
2025-07-02T14:44:53.930309,anthropic/claude-3.5-haiku-20241022:beta,12,202,0.000010,0.000808,0.000818,Best value pizza delivery service
2025-07-02T14:44:53.974299,google/gemini-2.5-flash,7,498,0.000002,0.001245,0.001247,Affordable fast pizza delivery in my city
2025-07-02T14:44:53.980233,google/gemini-2.5-flash,7,500,0.000002,0.001250,0.001252,Pizza delivery services with late night delivery
2025-07-02T14:44:54.230645,anthropic/claude-3.5-haiku-20241022:beta,15,214,0.000012,0.000856,0.000868,Where can I order pizza with sides quickly
2025-07-02T14:44:54.264511,perplexity/sonar-pro,7,343,0.000021,0.005145,0.005166,Pizza delivery platforms offering salad and sides
2025-07-02T14:44:54.407212,anthropic/claude-3.5-haiku-20241022:beta,14,212,0.000011,0.000848,0.000859,Pizza delivery companies offering garlic bread
2025-07-02T14:44:54.594604,perplexity/sonar-pro,7,385,0.000021,0.005775,0.005796,Online pizza ordering sites with combo deals
2025-07-02T14:44:54.651564,perplexity/sonar-pro,8,204,0.000024,0.003060,0.003084,Where can I order pizza with sides quickly
2025-07-02T14:44:54.652556,perplexity/sonar-pro,5,239,0.000015,0.003585,0.003600,Quick pizza delivery options nearby
2025-07-02T14:44:54.996780,anthropic/claude-3.5-haiku-20241022:beta,14,226,0.000011,0.000904,0.000915,Fastest pizza delivery app in India
